nom;identifiant;groupe;animation;animationExiste;termeAnglais
Sled Pull;sled-pull;Dos;exercises/sled-pull.webp;true;
Sled Push;sled-push;Jambes;exercises/sled-push-hyrox.webp;true;
Smith Machine Développé Couché;smith-machine-developpe-couche;Pectoraux;exercises/developpe-couche-smith-machine.webp;true;smith machine bench press
Smith Machine Développé Incliné;smith-machine-developpe-incline;Pectoraux;;false;smith machine incline bench press
Smith Machine Développé Militaire;smith-machine-developpe-militaire;Épaules;exercises/developpe-epaules-smith-machine.webp;true;smith machine overhead press
Smith Machine Fentes;smith-machine-fentes;Jambes;exercises/split-squat-smith-machine.webp;true;smith machine lunge
Smith Machine Squat;smith-machine-squat;Jambes;exercises/squat-smith-machine-exercice-musculation.webp;true;smith machine squat
Soulevé de Terre;souleve-de-terre;Dos;exercises/souleve-de-terre.webp;true;deadlift conventional
Soulevé de Terre avec Déficit;souleve-de-terre-avec-deficit;Fessiers;exercises/souleve-de-terre-avec-deficit.webp;true;
Soulevé de Terre Jambes Tendues;souleve-de-terre-jambes-tendues;Fessiers;exercises/souleve-de-terre-jambes-tendues.webp;true;
Soulevé de Terre Machine;souleve-de-terre-machine;Fessiers;exercises/souleve-de-terre-avec-machine.webp;true;
Soulevé de Terre Roumain Barre;souleve-de-terre-roumain-barre;Fessiers;exercises/souleve-de-terre-roumain-barre.webp;true;romanian deadlift barbell
Soulevé de Terre Roumain Haltères;souleve-de-terre-roumain-halteres;Fessiers;exercises/souleve-de-terre-roumain-halteres.webp;true;romanian deadlift dumbbell
Soulevé de Terre Roumain Kettlebell;souleve-de-terre-roumain-kettlebell;Fessiers;exercises/souleve-de-terre-roumain-kettlebell.webp;true;
Soulevé de Terre Roumain Landmine;souleve-de-terre-roumain-landmine;Fessiers;exercises/souleve-de-terre-roumain-landmine.webp;true;
Soulevé de Terre Roumain Unilatéral;souleve-de-terre-roumain-unilateral;Fessiers;exercises/souleve-de-terre-roumain-unilateral.webp;true;single leg romanian deadlift
Soulevé de Terre Sumo;souleve-de-terre-sumo;Dos;exercises/souleve-de-terre-sumo.webp;true;sumo deadlift
Soulevé de Terre Sumo Haltères;souleve-de-terre-sumo-halteres;Fessiers;exercises/deadlift-sumo-halteres-exercice-jambes-fessiers.webp;true;
Soulevé de Terre Sumo Kettlebell;souleve-de-terre-sumo-kettlebell;Fessiers;exercises/souleve-de-terre-sumo-kettlebell.webp;true;
Soulevé de Terre Sumo Landmine;souleve-de-terre-sumo-landmine;Fessiers;exercises/souleve-de-terre-sumo-landmine.webp;true;
Soulevé de Terre Trap Bar;souleve-de-terre-trap-bar;Fessiers;exercises/souleve-de-terre-a-la-trap-bar.webp;true;
Soulevé de Terre Valise (Suitcase);souleve-de-terre-valise-suitcase;Jambes;exercises/souleve-de-terre-valise.webp;true;suitcase deadlift
Split Squat Élastique (Fente Statique);split-squat-elastique-fente-statique;Jambes;exercises/split-squat-elastique.webp;true;split squat resistance band
Split Squat TRX (Sangles);split-squat-trx-sangles;Jambes;exercises/split-squat-trx-sangles.webp;true;trx split squat
Squat à la Barre;squat-a-la-barre;Jambes;exercises/homme-faisant-un-squat-avec-barre.webp;true;squat barbell
Squat Avant;squat-avant;Jambes;exercises/squat-barre-devant-front.webp;true;front squat
Squat avec Rotation du Tronc;squat-avec-rotation-du-tronc;Jambes;exercises/squat-avec-rotation-du-tronc.webp;true;squat with torso rotation
Squat Bande Élastique;squat-bande-elastique;Jambes;exercises/squat-bande-elastique.webp;true;
Squat Barre avec Bandes Élastiques;squat-barre-avec-bandes-elastiques;Jambes;exercises/squat-barre-avec-bandes-elastiques.webp;true;banded barbell squat
Squat Bulgare;squat-bulgare;Jambes;exercises/squat-bulgare-halteres-exercice-musculation.webp;true;bulgarian split squat
Squat Bulgare Élastique;squat-bulgare-elastique;Jambes;exercises/squat-bulgare-elastique.webp;true;bulgarian split squat resistance band
Squat Gobelet (Goblet Squat);squat-gobelet-goblet-squat;Jambes;exercises/squat-goblet-kettlebell.webp;true;goblet squat
Squat Hack (Hack Squat);squat-hack-hack-squat;Jambes;exercises/hack-squat.webp;true;hack squat
Squat Kettlebell;squat-kettlebell;Jambes;exercises/kettlebell-back-squat.webp;true;
Squat Pistol;squat-pistol;Jambes;exercises/squat-pistol.webp;true;
Squat Pistol TRX (Sangles);squat-pistol-trx-sangles;Jambes;exercises/squat-pistol-trx-sangles.webp;true;trx pistol squat
Squat Poids du Corps (Air Squat);squat-poids-du-corps-air-squat;Jambes;exercises/squat-poids-du-corps-air-squat.webp;true;air squat bodyweight
Squat Sauté (Jump Squat);squat-saute-jump-squat;Jambes;exercises/squat-saute-jump-squat.webp;true;jump squat
Squat Sumo;squat-sumo;Jambes;exercises/squat-sumo-avec-haltere.webp;true;sumo squat
Squat TRX (Sangles);squat-trx-sangles;Jambes;exercises/squat-trx-sangles.webp;true;trx squat
Superman;superman;Lombaires;exercises/superman.webp;true;
Suspension Passive (Dead Hang);suspension-passive-dead-hang;Dos;exercises/suspension-passive-dead-hang.webp;true;dead hang
Svend Press (Serrage de Plaque);svend-press-serrage-de-plaque;Pectoraux;exercises/svend-press.webp;true;svend press plate
Tate Press;tate-press;Triceps;exercises/tate-press.webp;true;tate press dumbbell
Thruster;thruster;Full Body;exercises/thruster.webp;true;
Thruster Kettlebell;thruster-kettlebell;Full Body;exercises/thruster-kettlebell.webp;true;
Thrusters Haltères;thrusters-halteres;Full Body;;false;dumbbell thruster
Tirage Cable Fessiers (Cable Pull Through);tirage-cable-fessiers-cable-pull-through;Fessiers;;false;cable pull through glute
Tirage en Rack (Rack Pull);tirage-en-rack-rack-pull;Dos;exercises/rack-pull.webp;true;rack pull barbell
Tirage Incliné Poulie Haute;tirage-incline-poulie-haute;Dos;exercises/tirage-incline-poulie-haute.webp;true;
Tirage Iso-Latéral Hammer Strength;tirage-iso-lateral-hammer-strength;Dos;exercises/tirage-avant-iso-laterale-hammer-strength.webp;true;
Tirage Menton;tirage-menton;Trapèzes;exercises/tirage-menton-machine-guidee.webp;true;upright row barbell
Tirage Menton Élastique;tirage-menton-elastique;Trapèzes;exercises/tirage-menton-avec-elastique.webp;true;
Tirage Menton Kettlebell;tirage-menton-kettlebell;Épaules;exercises/tirage-menton-avec-kettlebell.webp;true;upright row kettlebell
Tirage Nuque;tirage-nuque;Dos;;false;behind neck pulldown
Tirage Poulie Basse Prise Large;tirage-poulie-basse-prise-large;Dos;exercises/tirage-horizontal-prise-large.webp;true;seated cable row wide grip
Tirage Poulie Basse Prise Serrée;tirage-poulie-basse-prise-serree;Dos;;false;seated cable row close grip
Tirage Poulie Haute (Lat Pulldown);tirage-poulie-haute-lat-pulldown;Dos;exercises/tirage-vertical-poitrine.webp;true;lat pulldown cable
Tirage Poulie Haute Prise Inversée;tirage-poulie-haute-prise-inversee;Dos;exercises/tirage-vertical-prise-inversee.webp;true;
Tirage Poulie Haute Prise Serrée;tirage-poulie-haute-prise-serree;Dos;exercises/tirage-vertical-prise-serree.webp;true;lat pulldown close grip
Tirage Vertical Alterné Élastique;tirage-vertical-alterne-elastique;Dos;exercises/tirage-vertical-alterne-elastique.webp;true;alternating lat pulldown resistance band
Tirage Visage (Face Pull);tirage-visage-face-pull;Épaules;exercises/face-pull.webp;true;face pull cable
Traction Assistée;traction-assistee;Dos;exercises/traction-assistee-machine.webp;true;assisted pull up machine
Traction Assistée avec Banc;traction-assistee-avec-banc;Dos;exercises/traction-assistee-avec-banc.webp;true;assisted pull up bench
Traction Australienne (Poids du Corps);traction-australienne-poids-du-corps;Dos;exercises/traction-australienne.webp;true;australian pull up
Traction Australienne TRX (Sangles);traction-australienne-trx-sangles;Dos;exercises/traction-australienne-trx-sangles.webp;true;trx inverted row
Traction Derrière la Nuque;traction-derriere-la-nuque;Dos;exercises/traction-barre-derriere-rear-oull-up.webp;true;
Traction Lestée;traction-lestee;Dos;exercises/traction-lestee-vraie.webp;true;pull-up weighted
Traction Prise Neutre;traction-prise-neutre;Dos;exercises/traction-prise-neutre.webp;true;neutral grip pull up
Traction Supination (Chin-up);traction-supination-chin-up;Dos;exercises/traction-supination-chin-up.webp;true;chin up
Tractions (Pull-up);tractions-pull-up;Dos;exercises/traction-musculation-dos.webp;true;pull up
Tractions aux Anneaux;tractions-aux-anneaux;Dos;exercises/tractions-aux-anneaux.webp;true;ring pull up
Triceps Corde Poulie;triceps-corde-poulie;Triceps;;false;triceps rope pushdown
Triceps Machine;triceps-machine;Triceps;exercises/triceps-machine.webp;true;triceps machine
Triceps Poulie;triceps-poulie;Triceps;exercises/triceps-poulie-haute-barre.webp;true;triceps pushdown cable
Triceps Poulie Basse;triceps-poulie-basse;Triceps;exercises/triceps-poulie-basse-verticale.webp;true;low cable triceps extension
Turkish Get-Up;turkish-get-up;Full Body;;false;turkish get up
Waiter Curl;waiter-curl;Biceps;exercises/waiter-curl.webp;true;waiter curl dumbbell
Wall Ball;wall-ball;Full Body;exercises/wall-ball.webp;true;wall ball shot
Windshield Wiper;windshield-wiper;Abdominaux;;false;windshield wiper ab
Y Raise / W Raise;y-raise-w-raise;Épaules;exercises/elevation-en-y-a-la-poulie.webp;true;y raise band
Zercher Deadlift;zercher-deadlift;Fessiers;exercises/zercher-deadlift.webp;true;
