nom;identifiant;groupe;musclesPrincipauxFr;musclesSecondairesFr;schemaLibelle;materielLibelle;met;role;termeAnglais;animation;musclesEcrits;classementCertain
Extension Triceps Allongée TRX (Sangles);extension-triceps-allongee-trx-sangles;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);Sangles / TRX;4;accessoire;trx lying triceps extension;exercises/extension-triceps-trx-allonge.webp;true;true
Extension Triceps Arrière (Kickback);extension-triceps-arriere-kickback;Triceps;Triceps;Deltoïde postérieur;Extension du coude (triceps);Polyvalent / non déterminé;4;accessoire;triceps kickback dumbbell;exercises/triceps-kickback-debout-halteres.webp;true;true
Extension Triceps Banc Incliné Haltères;extension-triceps-banc-incline-halteres;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);"Poids libre (haltères, kettlebell)";4;accessoire;incline dumbbell triceps extension;exercises/extension-triceps-banc-incline-halteres.webp;true;true
Extension Triceps Concentrée Poulie;extension-triceps-concentree-poulie;Triceps;Triceps;;Extension du coude (triceps);"Guidé (machine, poulie)";4;accessoire;concentration cable triceps extension;exercises/extension-triceps-concentree-poulie.webp;true;true
Extension Triceps Couché Haltères;extension-triceps-couche-halteres;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);"Poids libre (haltères, kettlebell)";4;accessoire;lying triceps extension dumbbell;exercises/extension-triceps-couche-halteres.webp;true;true
Extension Triceps Décliné Haltères;extension-triceps-decline-halteres;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);"Poids libre (haltères, kettlebell)";4;accessoire;decline dumbbell triceps extension;exercises/extension-triceps-decline-halteres.webp;true;true
Extension Triceps Nuque Élastique;extension-triceps-nuque-elastique;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);Élastique;4;accessoire;overhead triceps extension resistance band;exercises/extension-triceps-nuque-elastique.webp;true;true
Extension Triceps TRX (Sangles);extension-triceps-trx-sangles;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);Sangles / TRX;4;accessoire;trx triceps extension;exercises/extension-triceps-trx-sangles.webp;true;true
Extension Triceps Verticale Élastique;extension-triceps-verticale-elastique;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);Élastique;4;accessoire;triceps pushdown resistance band;exercises/extension-triceps-verticale-elastique.webp;true;true
Face Pull Couché Poulie;face-pull-couche-poulie;Épaules;Deltoïde postérieur;Biceps + Deltoïde moyen + Trapèzes;Élévation / rotation épaule;"Guidé (machine, poulie)";5.5;accessoire;;exercises/face-pull-couche-a-la-poulie.webp;true;true
Farmer's Walk;farmer-s-walk;Avant-bras;Avant-bras + Trapèzes;Abdominaux + Fessiers + Quadriceps;Porté (carry);"Poids libre (haltères, kettlebell)";6.5;accessoire;farmers walk;exercises/marche-du-fermier-avec-kettlebells.webp;true;true
Fentes;fentes;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Polyvalent / non déterminé;6.5;accessoire;lunge barbell;exercises/fente-avant-barre-femme.webp;true;true
Fentes Arrière;fentes-arriere;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Polyvalent / non déterminé;6.5;accessoire;reverse lunge;;true;true
Fentes Croisées (Curtsy Lunge);fentes-croisees-curtsy-lunge;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Polyvalent / non déterminé;6.5;accessoire;curtsy lunge;exercises/fentes-croisees-curtsy-lunge.webp;true;true
Fentes Kettlebell;fentes-kettlebell;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;"Poids libre (haltères, kettlebell)";6.5;accessoire;;exercises/fentes-avant-kettlebell.webp;true;true
Fentes Latérales;fentes-laterales;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Polyvalent / non déterminé;6.5;accessoire;lateral lunge;;true;true
Fentes Marchées;fentes-marchees;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Polyvalent / non déterminé;6.5;accessoire;walking lunge;exercises/fentes-marchees-avec-sandbag.webp;true;true
Gainage;gainage;Abdominaux;Abdominaux;Deltoïde antérieur + Fessiers + Lombaires + Obliques;Gainage / abdominaux;Poids du corps;5.5;accessoire;plank core;;true;true
Glute Ham Raise (GHD);glute-ham-raise-ghd;Fessiers;Fessiers + Ischio-jambiers;Mollets + Lombaires;Charnière de hanche (hip hinge);Poids du corps;6.5;ancre;;exercises/glute-ham-developer-ghd.webp;true;true
Grimpeur (Mountain Climber);grimpeur-mountain-climber;Abdominaux;Abdominaux + Obliques;Deltoïde antérieur + Fléchisseurs de hanche + Quadriceps;Gainage / abdominaux;Cardio / conditionnement;8;accessoire;mountain climber;exercises/grimpeur-mountain-climber.webp;true;true
Hack Squat Assis;hack-squat-assis;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;seated hack squat machine;exercises/hack-squat-assis.webp;true;true
Hack Squat Inversé;hack-squat-inverse;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;;exercises/hack-squat-inverse.webp;true;true
Handstand Push-up (ATR);handstand-push-up-atr;Épaules;Deltoïde antérieur;Abdominaux + Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);Poids du corps;5.5;ancre;handstand push up;exercises/handstand-push-up.webp;true;true
Handstand Push-up Suspendu (Sangles);handstand-push-up-suspendu-sangles;Épaules;Deltoïde antérieur;Abdominaux + Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);Sangles / TRX;5.5;ancre;suspended handstand push up;exercises/handstand-push-up-suspendu.webp;true;true
Haussements d'Épaules Barre;haussements-d-epaules-barre;Trapèzes;Trapèzes;Avant-bras;Élévation / rotation épaule;Barre;4;accessoire;barbell shrug;exercises/shrug-barre.webp;true;true
Haussements d'Épaules Câble;haussements-d-epaules-cable;Trapèzes;Trapèzes;Avant-bras;Élévation / rotation épaule;"Guidé (machine, poulie)";4;accessoire;cable shrug;exercises/shrug-poulie-haussement-epaules.webp;true;true
Haussements d'Épaules Haltères;haussements-d-epaules-halteres;Trapèzes;Trapèzes;Avant-bras;Élévation / rotation épaule;"Poids libre (haltères, kettlebell)";4;accessoire;dumbbell shrug;exercises/shrugs-avec-halteres.webp;true;true
Haussements d'Épaules Overhead;haussements-d-epaules-overhead;Trapèzes;Trapèzes;Avant-bras;Élévation / rotation épaule;Barre;4;accessoire;;exercises/overhead-shrug.webp;true;true
Hex Press Smith Machine;hex-press-smith-machine;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";5.5;ancre;hex press smith machine;exercises/hex-press-a-la-smith-machine.webp;true;true
Hip Thrust Barre (Poussée de Hanche);hip-thrust-barre-poussee-de-hanche;Fessiers;Fessiers;Ischio-jambiers + Lombaires + Quadriceps;Charnière de hanche (hip hinge);Barre;6.5;ancre;hip thrust barbell;exercises/hip-thrust-barre.webp;true;true
Hip Thrust Haltère (Poussée de Hanche);hip-thrust-haltere-poussee-de-hanche;Fessiers;Fessiers;Ischio-jambiers + Lombaires + Quadriceps;Charnière de hanche (hip hinge);"Poids libre (haltères, kettlebell)";6.5;ancre;hip thrust dumbbell;;true;true
Hip Thrust Machine (Poussée de Hanche);hip-thrust-machine-poussee-de-hanche;Fessiers;Fessiers;Ischio-jambiers + Lombaires + Quadriceps;Charnière de hanche (hip hinge);"Guidé (machine, poulie)";6.5;ancre;hip thrust machine;exercises/hip-thrust-a-la-machine.webp;true;true
Hip Thrust Unilatéral (Poussée de Hanche);hip-thrust-unilateral-poussee-de-hanche;Fessiers;Fessiers;Abdominaux + Ischio-jambiers + Lombaires + Obliques + Quadriceps;Charnière de hanche (hip hinge);Barre;6.5;ancre;single leg barbell hip thrust;exercises/hip-thrust-barre-unilateral.webp;true;true
Hollow Body;hollow-body;Abdominaux;Abdominaux;Deltoïde antérieur + Fléchisseurs de hanche + Obliques;Gainage / abdominaux;Poids du corps;5.5;accessoire;hollow body hold;;true;true
Hyperextension (Back Extension);hyperextension-back-extension;Lombaires;Fessiers + Lombaires;Ischio-jambiers;Charnière de hanche (hip hinge);Polyvalent / non déterminé;6.5;ancre;;exercises/extension-lombaire-au-banc-45.webp;true;true
Hyperextension Inverse (Reverse Hyper);hyperextension-inverse-reverse-hyper;Lombaires;Fessiers + Ischio-jambiers;Lombaires;Charnière de hanche (hip hinge);Polyvalent / non déterminé;6.5;ancre;;;true;true
Hyperextension Lestée;hyperextension-lestee;Lombaires;Fessiers + Lombaires;Ischio-jambiers;Charnière de hanche (hip hinge);Polyvalent / non déterminé;6.5;ancre;;;true;true
Hyperextension Machine;hyperextension-machine;Lombaires;Fessiers + Lombaires;Ischio-jambiers;Charnière de hanche (hip hinge);"Guidé (machine, poulie)";6.5;ancre;;exercises/extension-lombaire-a-la-machine.webp;true;true
Inclinaison Lombaire (Good Morning);inclinaison-lombaire-good-morning;Fessiers;Fessiers + Ischio-jambiers + Lombaires;Abdominaux;Charnière de hanche (hip hinge);Barre;6.5;ancre;good morning barbell;exercises/good-morning-exercice.webp;true;true
Jefferson Curl;jefferson-curl;Lombaires;Ischio-jambiers + Lombaires;Avant-bras + Fessiers;Charnière de hanche (hip hinge);Barre;6.5;ancre;;;true;true
Jefferson Squat;jefferson-squat;Jambes;Fessiers + Quadriceps;Avant-bras + Ischio-jambiers + Lombaires + Obliques;Charnière de hanche (hip hinge);Barre;6.5;ancre;jefferson squat;exercises/jefferson-squat.webp;true;true
Jumping Jack;jumping-jack;Full Body;Mollets + Deltoïde moyen;Abdominaux + Deltoïde antérieur + Fessiers + Quadriceps;Saut / pliométrie;Cardio / conditionnement;8;accessoire;jumping jack;exercises/jumping-jack.webp;true;true
Kettlebell Swing;kettlebell-swing;Fessiers;Fessiers + Ischio-jambiers;Abdominaux + Avant-bras + Lombaires + Quadriceps;Charnière de hanche (hip hinge);"Poids libre (haltères, kettlebell)";6.5;ancre;kettlebell swing;exercises/kettlebell-swing.webp;true;true
Kickback Cable;kickback-cable;Fessiers;Fessiers;Ischio-jambiers;Charnière de hanche (hip hinge);"Guidé (machine, poulie)";4;ancre;cable glute kickback;;true;true
Kickback Machine;kickback-machine;Fessiers;Fessiers;Ischio-jambiers;Charnière de hanche (hip hinge);"Guidé (machine, poulie)";4;ancre;glute kickback machine;;true;true
L-Sit;l-sit;Abdominaux;Abdominaux + Fléchisseurs de hanche;Deltoïde antérieur + Obliques + Triceps;Gainage / abdominaux;Poids du corps;5.5;accessoire;l-sit;;true;true
Leg Curl Assis Machine;leg-curl-assis-machine;Fessiers;Ischio-jambiers;Mollets;Flexion de genou (ischios);"Guidé (machine, poulie)";4;accessoire;seated leg curl machine;exercises/leg-curl-assis-machine.webp;true;true
Leg Curl Couché Machine;leg-curl-couche-machine;Fessiers;Ischio-jambiers;Mollets;Flexion de genou (ischios);"Guidé (machine, poulie)";4;accessoire;lying leg curl machine;exercises/leg-curl-allonge.webp;true;true
Leg Curl Élastique;leg-curl-elastique;Fessiers;Ischio-jambiers;Mollets;Flexion de genou (ischios);Élastique;4;accessoire;;exercises/leg-curl-avec-elastique-musculation.webp;true;true
Leg Curl Haltère;leg-curl-haltere;Fessiers;Ischio-jambiers;Mollets;Flexion de genou (ischios);"Poids libre (haltères, kettlebell)";4;accessoire;;exercises/leg-curl-decline-haltere.webp;true;true
Leg Curl Inversé;leg-curl-inverse;Fessiers;Ischio-jambiers;Mollets;Flexion de genou (ischios);"Guidé (machine, poulie)";4;accessoire;;exercises/leg-curl-inverse-machine-tirage-vertical.webp;true;true
Leg Curl Unilatéral Debout;leg-curl-unilateral-debout;Fessiers;Ischio-jambiers;Mollets;Flexion de genou (ischios);"Guidé (machine, poulie)";4;accessoire;;exercises/leg-curl-unilateral-debout-machine.webp;true;true
Machine Oiseau;machine-oiseau;Épaules;Deltoïde postérieur;Deltoïde moyen + Trapèzes;Élévation / rotation épaule;"Guidé (machine, poulie)";5.5;accessoire;rear delt fly machine;exercises/pec-deck-inverse.webp;true;true
Marche de l'Ours (Bear Crawl);marche-de-l-ours-bear-crawl;Full Body;Abdominaux + Deltoïde antérieur + Quadriceps;Mollets + Fessiers + Obliques + Triceps;Cardio / conditionnement;Cardio / conditionnement;8;accessoire;bear crawl;exercises/marche-de-lours-bear-crawl.webp;true;true
Marteau;marteau;Biceps;Biceps + Avant-bras;;Flexion du coude (biceps);Polyvalent / non déterminé;4;accessoire;hammer curl;exercises/curl-marteau.webp;true;true
Meadows Row;meadows-row;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;Barre;5.5;ancre;;exercises/rowing-unilateral-landmine-meadows-row.webp;true;true
Mollets Machine Assise;mollets-machine-assise;Mollets;Mollets;;Extension de cheville (mollets);"Guidé (machine, poulie)";4;accessoire;seated calf raise machine;exercises/elevations-mollets-assis-machine.webp;true;true
Mollets Machine Debout;mollets-machine-debout;Mollets;Mollets;;Extension de cheville (mollets);"Guidé (machine, poulie)";4;accessoire;standing calf raise machine;exercises/elevations-mollets-debout-machine.webp;true;true
Montée sur Box (Step-up);montee-sur-box-step-up;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Poids du corps;6.5;accessoire;box step up;exercises/montee-sur-box-barre.webp;true;true
Montée sur Box Haltères;montee-sur-box-halteres;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;"Poids libre (haltères, kettlebell)";6.5;accessoire;step up dumbbell;exercises/montee-sur-box-halteres-classique.webp;true;true
Muscle-up;muscle-up;Dos;Biceps + Grand dorsal;Abdominaux + Deltoïde antérieur + Pectoraux + Triceps;Tirage vertical;Poids du corps;5.5;ancre;muscle up bar;exercises/muscle-up.webp;true;true
Oiseau;oiseau;Épaules;Deltoïde postérieur;Deltoïde moyen + Trapèzes;Élévation / rotation épaule;Polyvalent / non déterminé;5.5;accessoire;rear delt fly dumbbell;exercises/oiseau-assis-sur-banc.webp;true;true
Oiseau Élastique;oiseau-elastique;Épaules;Deltoïde postérieur;Deltoïde moyen + Trapèzes;Élévation / rotation épaule;Élastique;5.5;accessoire;reverse fly resistance band;exercises/oiseau-elastique.webp;true;true
Oiseau Inversé TRX (Sangles);oiseau-inverse-trx-sangles;Épaules;Deltoïde postérieur;Abdominaux + Deltoïde moyen + Trapèzes;Élévation / rotation épaule;Sangles / TRX;5.5;accessoire;trx reverse fly;exercises/oiseau-inverse-trx-sangles.webp;true;true
Oiseau Poulie 45°;oiseau-poulie-45;Épaules;Deltoïde postérieur;Deltoïde moyen + Trapèzes;Élévation / rotation épaule;"Guidé (machine, poulie)";5.5;accessoire;;exercises/oiseau-a-la-poulie-a-45.webp;true;true
Overhead Squat;overhead-squat;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Deltoïde antérieur + Ischio-jambiers + Lombaires + Trapèzes;Squat (flexion hanche+genou);Barre;6.5;ancre;;exercises/overhead-squat.webp;true;true
Overhead Squat Élastique;overhead-squat-elastique;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Deltoïde antérieur + Ischio-jambiers + Lombaires + Trapèzes;Squat (flexion hanche+genou);Élastique;6.5;ancre;overhead squat resistance band;exercises/overhead-squat-elastique.webp;true;true
Overhead Squat Haltères;overhead-squat-halteres;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Deltoïde antérieur + Ischio-jambiers + Lombaires + Trapèzes;Squat (flexion hanche+genou);"Poids libre (haltères, kettlebell)";6.5;ancre;dumbbell overhead squat;exercises/overhead-squat-halteres.webp;true;true
Passage d'Épaule Élastique;passage-d-epaule-elastique;Épaules;Deltoïde postérieur;Trapèzes;Élévation / rotation épaule;Élastique;4;accessoire;;exercises/passage-depaule-avec-elastique.webp;true;true
Pec Deck;pec-deck;Pectoraux;Pectoraux;Deltoïde antérieur;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";4;accessoire;pec deck fly;exercises/pec-deck-butterfly-exercice-musculation.webp;true;true
Pendulum Squat;pendulum-squat;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;;exercises/pendulum-squat.webp;true;true
Pin Squat;pin-squat;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers + Lombaires;Squat (flexion hanche+genou);Barre;6.5;ancre;;exercises/pin-squat.webp;true;true
Planche de Préhension;planche-de-prehension;Avant-bras;Avant-bras;Trapèzes;Gainage / abdominaux;Poids du corps;4;accessoire;dead hang grip;;true;true
Planche Inversée;planche-inversee;Abdominaux;Fessiers + Lombaires;Abdominaux + Ischio-jambiers + Deltoïde postérieur;Gainage / abdominaux;Poids du corps;5.5;accessoire;reverse plank;exercises/planche-inversee.webp;true;true
Planche Latérale (Side Plank);planche-laterale-side-plank;Abdominaux;Obliques;Abdominaux + Deltoïde antérieur + Fessiers + Lombaires;Gainage / abdominaux;Poids du corps;5.5;accessoire;side plank;;true;true
Pompes (Push-up);pompes-push-up;Pectoraux;Pectoraux + Triceps;Abdominaux + Deltoïde antérieur;Poussée horizontale (pectoraux);Poids du corps;5.5;ancre;push up;exercises/pompe-musculation.webp;true;true
Pompes Déficit (Deficit Push-up);pompes-deficit-deficit-push-up;Pectoraux;Pectoraux + Triceps;Abdominaux + Deltoïde antérieur;Poussée horizontale (pectoraux);Poids du corps;5.5;ancre;deficit push up;exercises/pompes-deficit.webp;true;true
Pompes Diamant;pompes-diamant;Pectoraux;Pectoraux + Triceps;Abdominaux + Deltoïde antérieur;Poussée horizontale (pectoraux);Poids du corps;5.5;ancre;diamond push up;exercises/pompes-diamant.webp;true;true
Pompes Inclinées TRX (Sangles);pompes-inclinees-trx-sangles;Pectoraux;Pectoraux + Triceps;Abdominaux + Deltoïde antérieur;Poussée horizontale (pectoraux);Sangles / TRX;5.5;ancre;trx incline push up;exercises/pompes-inclinees-trx-sangles.webp;true;true
Pompes Lestées;pompes-lestees;Pectoraux;Pectoraux + Triceps;Abdominaux + Deltoïde antérieur;Poussée horizontale (pectoraux);Poids du corps;5.5;ancre;push up weighted;exercises/pompes-lestees.webp;true;true
Pont Fessier (Glute Bridge);pont-fessier-glute-bridge;Fessiers;Fessiers;Ischio-jambiers + Lombaires + Quadriceps;Charnière de hanche (hip hinge);Polyvalent / non déterminé;6.5;ancre;glute bridge;exercises/glute-bridge.webp;true;true
Press Jambes 45°;press-jambes-45;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;;exercises/presse-a-cuisse-exercice-musculation.webp;true;true
Press Jambes Horizontale;press-jambes-horizontale;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;;machine/press-jambes-2.jpg;true;true
Press Jambes Inclinée;press-jambes-inclinee;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;;exercises/presse-a-cuisses-inclinee.webp;true;true
Press Jambes Levier;press-jambes-levier;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;;machine/press-jambes-6.jpg;true;true
Press Jambes Verticale;press-jambes-verticale;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;;exercises/presse-a-cuisses-verticale.webp;true;true
Presse à Cuisses Iso-Latérale;presse-a-cuisses-iso-laterale;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;;exercises/presse-cuisse-iso-laterale-hammer-stenght.webp;true;true
Presse à Cuisses sur le Côté;presse-a-cuisses-sur-le-cote;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;side leg press machine;exercises/presse-a-cuisse-sur-le-cote.webp;true;true
Presse Mollets (Leg Press);presse-mollets-leg-press;Mollets;Mollets;;Extension de cheville (mollets);"Guidé (machine, poulie)";4;accessoire;calf press leg press;exercises/elevations-mollets-presse-45.webp;true;true
Pronation Supination Haltère;pronation-supination-haltere;Avant-bras;Avant-bras;;Flexion / rotation du poignet;"Poids libre (haltères, kettlebell)";4;accessoire;forearm rotation dumbbell;;true;true
Pull-over;pull-over;Dos;Grand dorsal;Pectoraux + Triceps;Tirage horizontal;Barre;5.5;accessoire;pullover barbell;;true;true
Pull-over Barre;pull-over-barre;Dos;Grand dorsal;Pectoraux + Triceps;Tirage horizontal;Barre;5.5;accessoire;;exercises/pull-over-barre.webp;true;true
Pull-over Haltère;pull-over-haltere;Dos;Grand dorsal;Pectoraux + Triceps;Tirage horizontal;"Poids libre (haltères, kettlebell)";5.5;accessoire;pullover dumbbell;exercises/pullover-haltere.webp;true;true
Pull-over Poulie;pull-over-poulie;Dos;Grand dorsal;Pectoraux + Triceps;Tirage horizontal;"Guidé (machine, poulie)";5.5;accessoire;;exercises/pull-over-poulie.webp;true;true
Pullover Machine;pullover-machine;Dos;Grand dorsal;Pectoraux + Triceps;Tirage horizontal;"Guidé (machine, poulie)";5.5;accessoire;pullover machine;exercises/musculation-pull-over-assis-machine.webp;true;true
Reeves Deadlift;reeves-deadlift;Fessiers;Fessiers + Ischio-jambiers + Lombaires;Avant-bras + Quadriceps + Deltoïde postérieur + Trapèzes;Charnière de hanche (hip hinge);Barre;6.5;ancre;;exercises/reeves-deadlift.webp;true;true
Relevé de Buste (Sit-up);releve-de-buste-sit-up;Abdominaux;Abdominaux;Fléchisseurs de hanche + Obliques;Gainage / abdominaux;Polyvalent / non déterminé;5.5;accessoire;sit up;;true;true
Relevé de Jambes;releve-de-jambes;Abdominaux;Abdominaux + Fléchisseurs de hanche;Obliques;Gainage / abdominaux;Poids du corps;5.5;accessoire;hanging leg raise;;true;true
Renegade Row;renegade-row;Dos;Grand dorsal + Trapèzes;Abdominaux + Biceps + Avant-bras + Obliques + Deltoïde postérieur;Tirage horizontal;"Poids libre (haltères, kettlebell)";5.5;ancre;;exercises/renegade-row.webp;true;true
Rocky Pull-up;rocky-pull-up;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;Poids du corps;5.5;ancre;;exercises/rocky-pull-up.webp;true;true
Rotation Externe Épaule Abduction;rotation-externe-epaule-abduction;Épaules;Deltoïde postérieur;Trapèzes;Élévation / rotation épaule;Polyvalent / non déterminé;4;accessoire;;exercises/rotation-externe-de-epaule-en-abduction.webp;true;true
Rotation Externe Épaule Élastique;rotation-externe-epaule-elastique;Épaules;Deltoïde postérieur;Trapèzes;Élévation / rotation épaule;Élastique;4;accessoire;;exercises/rotation-externe-epaule-exercice-renforcement-elastique.webp;true;true
Rotation Externe Épaule Haltère;rotation-externe-epaule-haltere;Épaules;Deltoïde postérieur;Trapèzes;Élévation / rotation épaule;"Poids libre (haltères, kettlebell)";4;accessoire;;exercises/rotation-externe-epaule-haltere.webp;true;true
Rotation Externe Épaule Poulie;rotation-externe-epaule-poulie;Épaules;Deltoïde postérieur;Trapèzes;Élévation / rotation épaule;"Guidé (machine, poulie)";4;accessoire;cable external rotation;exercises/rotation-externe-epaule-poulie.webp;true;true
Rotation Interne 90° Poulie;rotation-interne-90-poulie;Épaules;Deltoïde antérieur;Pectoraux;Élévation / rotation épaule;"Guidé (machine, poulie)";4;accessoire;;exercises/rotation-interne-a-90-a-la-poulie.webp;true;true
Rotation Interne Épaule Élastique;rotation-interne-epaule-elastique;Épaules;Deltoïde antérieur;Pectoraux;Élévation / rotation épaule;Élastique;4;accessoire;;exercises/exercice-rotation-interne-epaule-elastique-renforcement-coiffe-rotateurs-prevention-blessures-musculation.webp;true;true
Rotation Machine Obliques;rotation-machine-obliques;Abdominaux;Obliques;Abdominaux;Gainage / abdominaux;"Guidé (machine, poulie)";4;accessoire;oblique twist machine;;true;true
Rotation Russe (Russian Twist);rotation-russe-russian-twist;Abdominaux;Abdominaux + Obliques;Deltoïde antérieur + Fléchisseurs de hanche;Gainage / abdominaux;Poids du corps;5.5;accessoire;russian twist;;true;true
Roue Abdominale (Ab Wheel);roue-abdominale-ab-wheel;Abdominaux;Abdominaux;Deltoïde antérieur + Grand dorsal + Obliques;Gainage / abdominaux;Polyvalent / non déterminé;5.5;accessoire;ab wheel rollout;;true;true
Rowing Barre (Tirage Horizontal);rowing-barre-tirage-horizontal;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;Barre;5.5;ancre;barbell row bent over;exercises/rowing-barre.webp;true;true
Rowing Buste Penché Élastique;rowing-buste-penche-elastique;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;Élastique;5.5;ancre;bent over row resistance band;exercises/rowing-buste-penche-elastique.webp;true;true
Rowing Câble (Tirage Horizontal);rowing-cable-tirage-horizontal;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;"Guidé (machine, poulie)";5.5;ancre;cable row seated;exercises/tirage-horizontal-poulie.webp;true;true
Rowing Haltère (Tirage Horizontal);rowing-haltere-tirage-horizontal;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;"Poids libre (haltères, kettlebell)";5.5;ancre;dumbbell row one arm;exercises/rowing-haltere-un-bras.webp;true;true
Rowing Haltères Buste Penché;rowing-halteres-buste-penche;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;"Poids libre (haltères, kettlebell)";5.5;ancre;;exercises/bent-over-row-avec-halteres.webp;true;true
Rowing Hammer Strength;rowing-hammer-strength;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;"Guidé (machine, poulie)";5.5;ancre;hammer strength row;exercises/rowing-assis-machine-hammer-strenght.webp;true;true
Rowing Horizontal Élastique;rowing-horizontal-elastique;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;Élastique;5.5;ancre;seated row resistance band;exercises/rowing-horizontal-elastique.webp;true;true
Rowing Inversé sous une Table;rowing-inverse-sous-une-table;Dos;Grand dorsal + Trapèzes;Abdominaux + Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;Barre;5.5;ancre;inverted row under table;exercises/rowing-inverse-sous-table.webp;true;true
Rowing Landmine (T-Bar);rowing-landmine-t-bar;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;"Poids libre (haltères, kettlebell)";5.5;ancre;;exercises/rowing-barre-t-landmine.webp;true;true
Rowing Machine (Tirage Horizontal);rowing-machine-tirage-horizontal;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;"Guidé (machine, poulie)";5.5;ancre;seated row machine;exercises/rowing-assis-machine-prise-pronation.webp;true;true
Rowing Poitrine Appuyée (Chest Supported);rowing-poitrine-appuyee-chest-supported;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;Barre;5.5;ancre;chest supported row;exercises/rowing-halteres-banc-incline-prise-neutre.webp;true;true
